id,group,section,where,finding,current text on the page,suggested fix,your decision
41,A,A. Wrong or self-contradictory,html/pricing.html:79; html/pricing.html:73,"html/pricing.html:79 — ""*** Overages are rounded up to the next user"" — ""user"" against the page's one word, ""member"" (footnote *); and no row says what an overage is or costs. html/pricing.html:73 ""Community"" support on Free — no community channel exists anywhere on the site or docs. (Ram's text.)","html/pricing.html:79: ***Overages are rounded up to the next user.
html/pricing.html:73: SupportCommunityEmail","Footnote: 'Overages are rounded up to the next member.' Say somewhere what an overage is (usage past the pooled allowance, billed at $15 per extra 300 - the cells say it, the footnote could point at them). Support on Free: 'Email' or 'Help icon' unless a community channel is planned.",
42,A,A. Wrong or self-contradictory,html/pricing.html:82,"html/pricing.html:82 — ""Available at general availability.""","html/pricing.html:82: Available at general availability. Includes SSO, flexible retention, and a support contract with an SLA.",'Offered from general availability.' or 'Arrives at general availability.',
43,A,A. Wrong or self-contradictory,html/404.html:31,"html/404.html:31 — the About nav link carries aria-current=""page"", so every missing URL highlights About as the current page.",html/404.html:31: About,"Remove aria-current=""page"" from the About link in 404.html.",
44,A,A. Wrong or self-contradictory,docsrc/index.html:33,"docsrc/index.html:33 — card promised ""the notes for the team that rolls it out"" (the retired Operating notes page) — FIXED, now ""what the skill does, what Search2o adds to it, and how to install it"".","docsrc/index.html:33: Skill integrationLet an Agent Skills client such as Claude Code run your published agents: what the skill does, what Search2o adds to it, and how to install it.",(fixed),
45,A,A. Wrong or self-contradictory,html/demo.html:14,"html/demo.html:14 — og:image pointed at https://search2o.com/logo.png, a file that no longer exists after the images move — FIXED (images/og.png plus the width/height/alt/twitter:card block the other pages carry).","html/demo.html:14: (markup only) <meta property=""og:image"" content=""https://search2o.com/images/og.png"">",(fixed),
46,B,"B. Embarrassing, leftovers, roadmap talk",docsrc/introduction/what-is-search2o.html:12,"docsrc/introduction/what-is-search2o.html:12 — ""everything is stored in Search2o cloud, so servers can be started, stopped and scaled without concerning about data loss. Sensitive information like conversation, queries, and memories are encrypted. "" — ""Search2o cloud"" (capital C), ""without concerning about"" is not English, ""information ... are"", ""conversation"" singular, a bare hyphen for the dash, trailing space. The worst line in the docs. (Ram's line.)","docsrc/introduction/what-is-search2o.html:12: State is managed. The agent server holds no state - everything is stored in Search2o cloud, so servers can be started, stopped and scaled without concerning about data loss. Sensitive information like conversation, queries, and memories are encrypted.","'The agent server holds no state - everything is stored in Search2o Cloud, so agent servers can be started, stopped and scaled without risk of data loss. Sensitive information - conversations, queries and memories - is encrypted.' (and the dash as &mdash;)",
47,B,"B. Embarrassing, leftovers, roadmap talk",docsrc/support-licensing/asking-the-docs.html:16,docsrc/support-licensing/asking-the-docs.html:16 — an empty `<h2>Limits</h2>` at the end of the page (its paragraph was removed on 09-13).,docsrc/support-licensing/asking-the-docs.html:16: Limits,Delete the empty <h2>Limits</h2>.,
48,B,"B. Embarrassing, leftovers, roadmap talk","docsrc/search/search-settings.html:18,19","docsrc/search/search-settings.html:18-19 — ""Custom GUI / Chat interface ... These setting can be safely ignored when you develop your own search UI ..."" — reads as a leftover note: ""These setting"", ""UI"", trailing space, blank lines above.","docsrc/search/search-settings.html:18: Custom GUI / Chat interface
docsrc/search/search-settings.html:19: These setting can be safely ignored when you develop your own search UI or when you create a chat integration.","Replace the stub with: '<h2>Your own interface</h2> These settings apply only to the bundled GUI. An interface of your own, or a chat integration, decides for itself what to do with the matches.'",
49,B,"B. Embarrassing, leftovers, roadmap talk",docsrc/llm/code-from-llm.html:1; docsrc/llm/code-from-llm.html:5,"docsrc/llm/code-from-llm.html:1,5 — roadmap promises (""A future dynamic command will ..."", ""Until the dynamic command ships"") on a docs page; see item 39.","docsrc/llm/code-from-llm.html:1: Search2o will never execute arbitrary Python code. A future dynamic command will let an LLM generate an agent in Search2o's own JSON format and execute that agent.
docsrc/llm/code-from-llm.html:5: Until the dynamic command ships, use tool calling to let a model decide what happens: offer the model functions that do the work, and let the model choose which function to call and with which arguments. See the llm command.",See 39.,
50,B,"B. Embarrassing, leftovers, roadmap talk",docsrc/system-management/agent-server-sizing.html:27,"docsrc/system-management/agent-server-sizing.html:27 — ""Its default of 20 connections is far too small for that work"" — the docs calling the shipped default ""far too small""; say what to set instead. (Ram's md.)","docsrc/system-management/agent-server-sizing.html:27: This is the pool the agents themselves use, for calls to language models and to your own services. Its default of 20 connections is far too small for that work, because each waiting run holds a connection for the whole call. Twenty connections therefore serve about twenty runs.","'The default of 20 connections suits an agent server that mostly computes. When agents call anything, size the pool above the number of runs at once.'",
51,B,"B. Embarrassing, leftovers, roadmap talk",docsrc/agent-definition/commands.html:1,"docsrc/agent-definition/commands.html:1 — ""Together the commands cover every agentic workflow"" — hype (""every"").","docsrc/agent-definition/commands.html:1: There are 23 commands. Together the commands cover every agentic workflow: variables, flow control, progress, termination, external systems, LLMs, other agents, the user, and output.",'Together the commands cover the agentic workflows we have met' or simply 'Together the commands cover ...' - drop 'every'.,
52,B,"B. Embarrassing, leftovers, roadmap talk",docsrc/agent-definition/python-expressions.html:73; docsrc/agent-execution/controlled-runtime.html:11,"docsrc/agent-definition/python-expressions.html:73 — ""every secret an agent uses is visible in the agent's definition"" — reads as if values are visible; controlled-runtime.html:11 says it right (names, never values).","docsrc/agent-definition/python-expressions.html:73: A secret can only be read as sys.secret['NAME'], with the name written out. A key held in a variable is refused. So is sys.secret on its own. This rule means every secret an agent uses is visible in the agent's definition.
docsrc/agent-execution/controlled-runtime.html:11: Credentials stay out of the definition. A secret is read as sys.secret['NAME'], with the name written out, and the agent server resolves it at run time; the definition shows which secrets an agent uses, never their values. See Secret vault.",'This rule means the name of every secret an agent uses is visible in the definition; the values never are.',
53,B,"B. Embarrassing, leftovers, roadmap talk",docsrc/security/encryption.html:1,"docsrc/security/encryption.html:1 — ""Search2o has builtin encryption ... for even more privacy. "" — ""built-in""; sales tone; trailing space.",docsrc/security/encryption.html:1: Search2o has builtin encryption that stores sensitive information in encrypted form. You can switch to end-to-end encryption for even more privacy.,"'Search2o encrypts sensitive information before it is stored. You can switch to end-to-end encryption, where only your organization holds the key.' (no trailing space)",
54,B,"B. Embarrassing, leftovers, roadmap talk",docsrc/runtime/overview.html:4,"docsrc/runtime/overview.html:4 — source-file and class names (""search2o/execution/"", ""runtime.py"", ""RuntimeState"") on a user-facing page; goes stale with the first refactor.","docsrc/runtime/overview.html:4: The runtime is implemented in the agent server's source under search2o/execution/, with runtime.py at the centre. One RuntimeState object holds:",Drop the file and class names; keep 'The runtime is built by the agent server from the configuration. It holds: ...',
55,B,"B. Embarrassing, leftovers, roadmap talk",docsrc/development/trace-and-validation.html:88,"docsrc/development/trace-and-validation.html:88 — ""We deliberately do not."" — reads as broken.","docsrc/development/trace-and-validation.html:88: The draft editor has Draft with AI, which can write and edit the agent. It would be easy to add a button that sends a failed validation to the AI. We deliberately do not.",'That is deliberate.' or 'We have deliberately left that out.',
56,B,"B. Embarrassing, leftovers, roadmap talk",html/index.html:228,"html/index.html:228 — ""Never have to restart agent servers."" — subjectless fragment. (Ram's card text.)",html/index.html:228: Never have to restart agent servers. A change to configuration is live on the next agent run. A running agent keeps running with the old configuration.,'Agent servers never need a restart.' (Ram's card text - your call),
57,B,"B. Embarrassing, leftovers, roadmap talk",html/index.html:243,"html/index.html:243 — ""Reports show trends ..., then drill into any result for details"" — reports do not drill; the reader does.","html/index.html:243: What ran, what failed, what it cost. Reports show trends in agent usage, performance, errors and LLM cost, then drill into any result for details.","'Reports show trends in agent usage, performance, errors and LLM cost; each row opens the details.'",
58,B,"B. Embarrassing, leftovers, roadmap talk","html/demo.html:42,43","html/demo.html:42-43 — the h1 ""Search that executes"" sits directly under the header tagline ""Search that executes""; trailing space at :43.","html/demo.html:42: (markup only) <main class=""s2o-demo-page"">
html/demo.html:43: (markup only) <section class=""page-hero"">",Drop the h1's tagline or change it ('Try Search2o three ways'); remove the trailing space.,
59,B,"B. Embarrassing, leftovers, roadmap talk",html/about.html:67,"html/about.html:67 — ""including systems built for large corporations and U.S. government environments, including long-running ..."" — ""including ... including"".","html/about.html:67: Search2o was founded by Ram Venkat and is built on decades of experience designing and operating enterprise search and cloud systems. That experience includes systems built for large corporations and U.S. government environments, including long-running, mission-critical production deployments. Search2o brings the same standards of reliability, security, and performance to enterprise AI systems.","'... systems built for large corporations and U.S. government environments, among them long-running, mission-critical production deployments.'",
60,C,C. House vocabulary (UI / server / Cloud / absences),html/index.html:130; html/pricing.html:84; docsrc/commands/ask.html:10; docsrc/getting-started/running-the-server.html:29; docsrc/system-management/agent-servers.html:29; docsrc/gui/personal.html:4; docsrc/security/data-privacy.html:35,"""UI"" for the product's interface: html/index.html:130 ""The browser UI"", :233 ""The bundled search UI""; html/pricing.html:84 ""from the UI""; docsrc/commands/ask.html:10 ""tells the UI what to ask"" and :31 ""masked in the UI""; docsrc/getting-started/running-the-server.html:29 ""the UI path""; docsrc/system-management/agent-servers.html:29 ""The UI path ... the UI path""; docsrc/gui/personal.html:4 ""UI theme""; docsrc/security/data-privacy.html:35 ""UI preferences"".","html/index.html:130: Users can submit requests from a browser, chat application, or agent skill. The browser UI also provides a complete workspace for agent development and system administration.
html/pricing.html:84: Need help? Contact Search2o directly from the UI.
docsrc/commands/ask.html:10: ...progress — is saved with the conversation. The run then ends with a result that tells the UI what to ask. The user's next message on the conversation carries the answers. The agent resumes at the same position, which returns a dict of the answers keyed by inpu...
docsrc/getting-started/running-the-server.html:29: The three documentation paths, the UI path and the allowed CORS origins are set in the Agent servers configuration. Each path can also be removed: a server can run with no GUI and no interactive API documentation.
docsrc/system-management/agent-servers.html:29: ...iguration dictionary. The UI path may point anywhere the server can read; leave the UI path empty to serve no GUI. The documentation paths can be moved or set to nothing to switch the interactive API documentation off.
docsrc/gui/personal.html:4: Name, UI theme (light, dark or system) and password. A new password must satisfy the account's password policy.
docsrc/security/data-privacy.html:35: Usersemail address, name, role, UI preferencesAdministrators and the ownerUntil the user is deleted","Replace each 'UI' with 'the GUI' (index.html:130 'The GUI also provides...', :233 'The bundled GUI uses the same API.', pricing:84 'from the GUI', etc.).",
61,C,C. House vocabulary (UI / server / Cloud / absences),docsrc/gui/agents.html:13; html/index.html:108,"""search index"" (banned 09-07): docsrc/gui/agents.html:13 ""search-index status"" (alt and caption); html/index.html:108 ""Search builds an index using natural-language descriptions"" (Ram's line; the no-mechanism rule).","docsrc/gui/agents.html:13: (markup only) <!--shot:gui-agents|600|The Published agents list with search-index status per agent|Published agents, with the search-index status of each agent.-->
html/index.html:108: Search builds an index using natural-language descriptions written by developers. This makes matching predictable, lets it scale to thousands of agents, and returns results in under a second — see search quality.",gui/agents.html:13: 'whether each agent is indexed'. index.html:108 is Ram's line.,
62,C,C. House vocabulary (UI / server / Cloud / absences),"docsrc/commands/db.html:23; docsrc/support-licensing/support.html:14; docsrc/llm/llm-adapters.html:39; docsrc/profiles/db-profiles.html:9; docsrc/llm/vendors.html:4; docsrc/security/data-privacy.html:4; docsrc/security/encryption.html:6; docsrc/security/encryption.html:12; docsrc/security/encryption.html:19; docsrc/security/secret-vault.html:13; docsrc/security/secret-vault.html:16; docsrc/security/secret-vault.html:24; docsrc/security/secret-vault.html:25; docsrc/security/license-rotation.html:1; docsrc/security/license-rotation.html:4; docsrc/security/license-rotation.html:9,10; docsrc/runtime/overview.html:14; docsrc/runtime/overview.html:21; docsrc/runtime/overview.html:22; docsrc/runtime/overview.html:24; docsrc/runtime/overview.html:27; docsrc/runtime/allowlist.html:76; docsrc/runtime/allowlist.html:88; docsrc/runtime/system-variables.html:1; docsrc/runtime/system-variables.html:13; docsrc/runtime/connection-pools.html:1; docsrc/runtime/index.html:1","Bare ""server"" for the agent server (rule of 09-22): commands/db.html:23 (x2); support.html:14 (x3); llm-adapters.html:39 (x2); db-profiles.html:9; vendors.html:4; data-privacy.html:4 (x3); encryption.html:6,12,19; secret-vault.html:13,16,24,25; license-rotation.html:1,4,9-10; runtime/overview.html:14,21,22,24,27; allowlist.html:76,88; system-variables.html:1,13; connection-pools.html:1; runtime/index.html:1; agent-servers.html throughout (:1 ""Run one server on a laptop"", :25, :35).","docsrc/commands/db.html:23: The profile's connection string names an async driver, which must be installed in the server's Python environment. sqlite+aiosqlite works out of the box. postgresql+asyncpg, mysql+...
docsrc/support-licensing/support.html:14: Agent servers — what each running server found when the server loaded the configuration, including allowlist entries the server could not resolve.
docsrc/llm/llm-adapters.html:39: The agent server instantiates every allowlisted subclass of LlmAdapter when the server loads the allowlist, and lists those adapters under Adapters when a new LLM profile is created. An adapter whose constructor fails is written to the server's log.
docsrc/profiles/db-profiles.html:9: The connection string names an async SQLAlchemy driver, which must be installed in the server's environment: postgresql+asyncpg://..., mysql+aiomysql://..., oracle+oracledb://..., ...
docsrc/llm/vendors.html:4: Each seeded profile reads its key from the agent server's environment. Set the key for the vendor you use before starting the server:
docsrc/security/data-privacy.html:4: Secrets read with sys.secret from the agent server's environment or from files never leave the server. Agents run on the agent server, and every call to your APIs, databases, LLM p...
docsrc/security/encryption.html:6: With encryptionSource set to cloud, Search2o keeps one key per account in a key management service. An agent server fetches the account's key over TLS when the server needs it and ...
docsrc/security/encryption.html:12: Name the function in keyFunction by its dotted path, for example mycompany.keys.get_key. Each agent server imports the function from its own Python environment when the server builds its runtime, and reports a failed import in its log.
docsrc/security/encryption.html:19: With the default setting, an administrator rotates the Search2o-managed key from the License page. Rotation issues a new key for the account, and everything already encrypted stays...
docsrc/security/secret-vault.html:13: secretSource set to file. The transformed name is a file path, and the file's contents, trimmed, are the secret. Choose this source when secrets arrive as mounted volumes: a Kubern...
docsrc/security/secret-vault.html:16: secretSource set to hosted. Secrets are entered in the GUI, on the Secrets & encryption page, and stored in Search2o Cloud. Hosted secrets require end-to-end encryption. The agent ...
docsrc/security/secret-vault.html:24: What the server does with a secret
docsrc/security/secret-vault.html:25: A secret is cached in the server's memory after first use. Values read by an agent are never written to traces, logs or reports, and URLs, headers and connection strings are masked...
docsrc/security/license-rotation.html:1: The license key is what connects an agent server to the account. Every request an agent server makes to Search2o Cloud carries the key, and a server without a valid key cannot start. An administrator can replace the key at any time, without downtime.
docsrc/security/license-rotation.html:4: Rotate the key when the key may have been exposed, or on a schedule your security policy sets. The key is a credential like any other: keep it in your secret store, pass it to serv...
docsrc/security/license-rotation.html:9: Restart every agent server with the new key before the grace period ends. Servers can be restarted one at a time; during the grace period, servers on the old key and servers on the new key serve the account side by side.
docsrc/security/license-rotation.html:10: A server still on the old key stops working when the grace period ends.
docsrc/runtime/overview.html:14: Alongside the runtime the server caches the agents it has run. A cached agent is dropped as soon as the cloud reports a newer version, so a republished agent runs in its new form on its next request.
docsrc/runtime/overview.html:21: If that time is newer than the server's runtime, the server asks the cloud for what changed since the server last asked, and receives only those parts.
docsrc/runtime/overview.html:22: The server builds a new runtime from the changed parts and the unchanged pieces of the old runtime, then swaps the new runtime in. The agent runs against it.
docsrc/runtime/overview.html:24: A change is therefore live on the very next run, on every server, and two servers starting the same agent at the same moment run with the same runtime. Only the changed pieces are ...
docsrc/runtime/overview.html:27: An agent keeps the runtime it started with, for its whole run. When a runtime is replaced, the connection pools and database engines of the old runtime stay open until the last age...
docsrc/runtime/allowlist.html:76: Expressions run on the agent server's shared event loop. A function that blocks that loop holds up every agent on the server, so such a function does not belong on the allowlist. time.sleep and synchronous network calls are examples.
docsrc/runtime/allowlist.html:88: Each server resolves each entry in its own Python environment. An entry that cannot be imported on one server is skipped there, a message is written to that server's log, and the r...
docsrc/runtime/system-variables.html:1: The sys namespace carries what the runtime knows about a run. Four names are always there. Four more reach an agent only when a developer lists them here, so by default an agent se...
docsrc/runtime/system-variables.html:13: cookies deserves care. The cookies carry the user's raw session ID, and an agent that writes the cookies into its output, a variable or a call to an outside system has given that s...
docsrc/runtime/connection-pools.html:1: Every HTTP connection an agent server opens goes through a connection pool: the calls to Search2o Cloud, the LLM calls, and the calls made by api commands and API profiles. Each of...
docsrc/runtime/index.html:1: The runtime is what an agent server builds from the account's configuration and runs every agent against. What the runtime is and how a change reaches every server; then the four p...",Replace bare 'server' with 'agent server' on the listed lines (mechanical).,
63,C,C. House vocabulary (UI / server / Cloud / absences),,"""the Search2o cloud"" lowercase — only in model docstrings (see section F); docsrc is clean.",,,
64,C,C. House vocabulary (UI / server / Cloud / absences),docsrc/support-licensing/license.html:1; docsrc/support-licensing/asking-the-docs.html:12; docsrc/system-management/agent-servers.html:35; docsrc/system-management/agent-servers.html:32; docsrc/system-management/service-accounts.html:29; docsrc/rest-api/authentication.html:7; docsrc/system-management/audit-log.html:10; docsrc/chat-integrations/finding-an-agent.html:33; docsrc/agent-definition/functions.html:34; docsrc/profiles/db-profiles.html:9; docsrc/runtime/allowlist.html:38; docsrc/development/code-editor.html:77; docsrc/security/encryption.html:6; docsrc/runtime/allowlist.html:4,"Absence statements (rule: say what to do): license.html:1 ""Availability of the source does not make the software open source.""; asking-the-docs.html:12 h2 ""What asking the docs does not do""; agent-servers.html:35 ""there is no explicit limit today on the number of servers""; agent-servers.html:32 ""do not appear in the GUI"" (repeats the sentence before); service-accounts.html:29 and rest-api/authentication.html:7 ""There is no sign-in call and no session.""; audit-log.html:10 ""Changes to the authentication settings produce no entry.""; finding-an-agent.html:33 ""There is no directory of agents for end users, and none is needed""; functions.html:34 ""Recursion is not available.""; db-profiles.html:9 ""An agent cannot override the connection string""; allowlist.html:38 ""There is nothing to rename"", :73 ""No other variables ... are accessible.""; code-editor.html:77 ""never a description of the command""; encryption.html:6 ""What this does not give you is exclusion of Search2o"". (allowlist.html:4 ""does not limit memory or CPU"" is deliberate.)","docsrc/support-licensing/license.html:1: The agent server source is available on GitHub, and the software is proprietary. Availability of the source does not make the software open source.
docsrc/support-licensing/asking-the-docs.html:12: What asking the docs does not do
docsrc/system-management/agent-servers.html:35: ...e free to containerize it and run it load balanced; nothing more is needed, and there is no explicit limit today on the number of servers you run. Every server picks up a configuration or profile change before its next agent run, so servers never drift from ea...
docsrc/system-management/agent-servers.html:32: Problems found at startup — an allowlist entry the server cannot import, or an LLM adapter that fails to instantiate — are written to the server's log. Errors are logged locally on the server and do not appear in the GUI.
docsrc/system-management/service-accounts.html:29: The program sends the key with every request, in an Authorization header. There is no sign-in call and no session. Every call to your agent server's API is a POST with a JSON body; finding an agent for a question, for example:
docsrc/rest-api/authentication.html:7: ...s with a service account's key, sent in the Authorization header of every call. There is no sign-in call and no session, and the key does not expire; it stops working when an administrator rotates it or deletes the service account. See Service accounts.
docsrc/system-management/audit-log.html:10: Every entry carries the time of the change and the user who made the change, shown by name and email. Changes to the authentication settings produce no entry.
docsrc/chat-integrations/finding-an-agent.html:33: An empty result means no agent covers that question, and it helps to tell the person so. There is no directory of agents for end users, and none is needed: people ask, and the answer tells them whether an agent exists. See How matching behaves.
docsrc/agent-definition/functions.html:34: A function cannot call itself while it is running, directly or through other functions. Recursion is not available. A loop is the way to repeat work.
docsrc/profiles/db-profiles.html:9: ...onnection string is a dynamic string, so the password can come from sys.secret. An agent cannot override the connection string set in the profile.
docsrc/runtime/allowlist.html:38: An entry that ends in .* cannot be renamed. There is nothing to rename, because that form brings in many names at once. An as on such a line is refused when the allowlist is saved.
docsrc/development/code-editor.html:77: Hovering shows a problem's message, never a description of the command or field under the pointer; the box under the command list describes each command, and the Docs icon answers questions about the language.
docsrc/security/encryption.html:6: ...ecrypts your state. Nothing has to be set up, which is why this is the default. What this does not give you is exclusion of Search2o: the key exists on Search2o's side, so Search2o, and Google as the infrastructure provider, can in principle read what the key ...
docsrc/runtime/allowlist.html:4: ...pend; and the scope rules below decide which variables are visible. The runtime does not limit memory or CPU. Rewriting an operator to a function of your own is the tool for operations that could load the server.","Delete each sentence, or restate what to do (e.g. 'The key alone authenticates each call.'). One decision covers the list.",
65,C,C. House vocabulary (UI / server / Cloud / absences),docsrc/rest-api/streaming.html:28,"Imperatives where the house style offers advice: rest-api/streaming.html:28 ""Do not stream from a scheduler or a pipeline step"".","docsrc/rest-api/streaming.html:28: Stream when a person is watching: the first output appears as soon as the agent produces it, and progress messages show that a long call is still working. Do not stream from a scheduler or a pipeline step; a single response is simpler to handle and carries the whole output.",'A scheduler or a pipeline step is better served by a single response.',
66,D,D. Grammar and non-native usage,docsrc/profiles/index.html:1,"docsrc/profiles/index.html:1 — ""commands ... instead of writing the details itself"" — themselves.","docsrc/profiles/index.html:1: A profile is a named object that commands in an agent refer to instead of writing the details itself: an LLM, a prompt, a REST API, a database, or an MCP server. Profiles are edited in the GUI and reach every agent server before its next run.",,
67,D,D. Grammar and non-native usage,docsrc/agent-definition/variables.html:8,"docsrc/agent-definition/variables.html:8 — ""Every function of the agent that set the variable can read and write the variable"" — dangling relative; ""Every function of the agent can read and write the variable"".","docsrc/agent-definition/variables.html:8: Agent variables are written agent.name. An agent variable lives for the whole conversation. Every function of the agent that set the variable can read and write the variable; other agents cannot. Use agent variables for state that a follow-up query should find again: whether initialization has run, a cached lookup, the user's last choice.",,
68,D,D. Grammar and non-native usage,docsrc/agent-execution/output.html:41,"docsrc/agent-execution/output.html:41 — ""Only output becomes part of the answer, plus end"" — ""Only X, plus Y"".","docsrc/agent-execution/output.html:41: progress sends a transient message that the user sees while the agent runs. The message is not saved with the conversation. trace writes to the developer's execution trace during validation and does nothing in production. log writes to the agent server's log. Only output becomes part of the answer, plus end, which appends its value to the output.",,
69,D,D. Grammar and non-native usage,docsrc/agent-execution/order-of-execution.html:20,"docsrc/agent-execution/order-of-execution.html:20 — ""The result of the ask command is now the answers.""","docsrc/agent-execution/order-of-execution.html:20: When an ask command runs, the agent's complete position is saved with the conversation and the run ends. The position includes the function call chain, the loop iteration and any LLM tool loop in progress. When the user answers, the agent is restored to that position and continues from the ask command. The result of the ask command is now the answers. Commands before the pause are not run again; their variables are restored.",,
70,D,D. Grammar and non-native usage,docsrc/profiles/prompt-profiles.html:1,"docsrc/profiles/prompt-profiles.html:1 — lead is a verbless fragment (""Reusable system and user prompts that ..."").","docsrc/profiles/prompt-profiles.html:1: Reusable system and user prompts that agents refer to by name in the prompt command. The same wording does not have to be repeated in every agent, and the wording can be changed once for all agents that use the profile. Both prompts are stored encrypted, and both are static text.",,
71,D,D. Grammar and non-native usage,docsrc/profiles/api-profiles.html:1; docsrc/profiles/db-profiles.html:1,"docsrc/profiles/api-profiles.html:1 ""An API profile is a REST server"" and db-profiles.html:1 ""is a connection"" — a profile describes one.","docsrc/profiles/api-profiles.html:1: An API profile is a REST server that agents call through the api command. The profile holds the server's base URL, the headers sent on every call, and the connection pool used.
docsrc/profiles/db-profiles.html:1: A database profile is a connection that agents query through the db command. The profile holds the connection string and the pool settings for that connection.",,
72,D,D. Grammar and non-native usage,docsrc/llm/llm-adapters.html:5,"docsrc/llm/llm-adapters.html:5 — ""Each bundled adapter says so itself."" — no referent for ""so""; :39 ""An adapter whose constructor fails is written to the server's log"" — the failure is written, not the adapter.",docsrc/llm/llm-adapters.html:5: Each bundled adapter says so itself. The GUI shows the adapter's description when a profile is created — the OpenAI one reads “Adapter for OpenAI ChatGPT responses API or any vendor that is compatible with it”.,,
73,D,D. Grammar and non-native usage,docsrc/agent-execution/controlled-runtime.html:18,"docsrc/agent-execution/controlled-runtime.html:18 — ""how long a definition may be"" listed among the bounds on a run; :22 ""a restricted account"" is ambiguous beside the Search2o account.","docsrc/agent-execution/controlled-runtime.html:18: The runtime limits bound a run: how long an agent may run, how many times a loop may iterate, how many rows a database call may return, how much an agent may spend on LLM calls, and how long a definition may be. A run past its time limit ends with the result code timedOut; a loop past its limit fails the run. The limits apply to every agent in the account.",,
74,D,D. Grammar and non-native usage,docsrc/agent-definition/functions.html:7,"docsrc/agent-definition/functions.html:7 — ""args maps each argument name to a description"" — it maps to an object with a type and a description (the example at :20).","docsrc/agent-definition/functions.html:7: args maps each argument name to a description of that argument. When another function calls this function with func, only the names matter: the arguments arrive as local variables, and an argument the caller omits is None. When the function is offered to an LLM as a tool, the model reads the type and description of each argument, so fill them in:",,
75,D,D. Grammar and non-native usage,docsrc/commands/ask.html:10,"docsrc/commands/ask.html:10 — ""The agent resumes at the same position, which returns a dict of the answers"" — the position does not return anything.","docsrc/commands/ask.html:10: The agent's position — every function, loop and tool call in progress — is saved with the conversation. The run then ends with a result that tells the UI what to ask. The user's next message on the conversation carries the answers. The agent resumes at the same position, which returns a dict of the answers keyed by input name. Execution then continues. Inputs the user did not answer are asked for again. Hidden inputs come back with their default. Variables set before the pause keep their values.",,
76,D,D. Grammar and non-native usage,docsrc/commands/memory.html:33,"docsrc/commands/memory.html:33 — ""One agent may use at most 10 distinct labels ... A single command may store up to 25."" — reads as contradictory; say ""25 memories"".",docsrc/commands/memory.html:33: One agent may use at most 10 distinct labels across its definition. A single command may store up to 25.,,
77,D,D. Grammar and non-native usage,docsrc/commands/continue.html:1; docsrc/commands/output.html:14; docsrc/commands/output.html:1; docsrc/commands/prompt.html:34; docsrc/commands/api.html:1; docsrc/commands/api.html:8,"docsrc/commands/continue.html:1 ""starts the next iteration, when the value is true"" (drop the comma); output.html:14 ""may be assigned directly"" (to what?); output.html:1 ""must set its output"" beside ""Appends""; prompt.html:34 ""Those are worth giving their own prompt name.""; api.html:1 ""for anything reachable over HTTP"" (now only what a profile names); api.html:8 ""An empty body returns the HTTP status code as a number"" (reads like a typo).","docsrc/commands/continue.html:1: Skips the rest of the current iteration and starts the next iteration, when the value is true.
docsrc/commands/output.html:14: The result of an llm command may be assigned directly. The answer's text and any images become parts. The streamOutput flag on the llm command does the same thing automatically.
docsrc/commands/output.html:1: Appends to the agent's output. Output is streamed to the user as the agent writes it. An agent that runs to answer a query must set its output.
docsrc/commands/prompt.html:34: A prompt that an llm command is using cannot be used by a nested agent or a tool function at the same time. Those are worth giving their own prompt name.
docsrc/commands/api.html:1: Calls a REST API and returns the response. Use api for anything reachable over HTTP: your own services, public APIs, or a vendor's endpoints.
docsrc/commands/api.html:8: The response body is the command's result, available as result in the next command. A JSON response is parsed into a Python object. A text response is returned as a string, and a b...",,
78,D,D. Grammar and non-native usage,docsrc/support-licensing/license.html:14,"docsrc/support-licensing/license.html:14 — ""operates from the US East ... run the agent server in the US East"" — not a place name in English (""the eastern United States"", ""the US East region""). (Ram's wording.)",docsrc/support-licensing/license.html:14: Search2o Cloud currently operates from the US East. You will see the lowest latency if you run the agent server in the US East. We will expand to other regions in the future.,,
79,D,D. Grammar and non-native usage,docsrc/support-licensing/asking-the-docs.html:4,"docsrc/support-licensing/asking-the-docs.html:4 — ""The docs icon at the top of the GUI is where a question is asked."" — stilted passive.","docsrc/support-licensing/asking-the-docs.html:4: The docs icon at the top of the GUI is where a question is asked. Developers, administrators and the owner can ask. End users cannot.",,
80,D,D. Grammar and non-native usage,docsrc/reports/index.html:17,"docsrc/reports/index.html:17 — ""or it is paused on an ask by a different agent"" — ""it"" for the conversation across a clause.","docsrc/reports/index.html:17: unknownConversationThe conversation could not be found, or it is paused on an ask by a different agent.",,
81,D,D. Grammar and non-native usage,docsrc/search/search-settings.html:1,"docsrc/search/search-settings.html:1 ""presses Enter on the bundled GUI"" (in); :13 ""with the previous agent as the fallback"" (under the choice settings it is appended, not a fallback); ""two choice settings"".",docsrc/search/search-settings.html:1: The Search configuration decides which tag the search box uses and what happens when the user presses Enter on the bundled GUI.,,
82,D,D. Grammar and non-native usage,docsrc/search/search-quality.html:35,"docsrc/search/search-quality.html:35 ""two kinds of question that should all be turned away""; :37-38 ""They are refused 82% to 86%"" / ""Nobody types ... they ask""; :41 ""That is the number worth remembering: search does not get slower"" (not a number).","docsrc/search/search-quality.html:35: An agent search that always answers is worse than useless, because the wrong agent will act. So we test refusal as carefully as we test matching, with two kinds of question that should all be turned away.",,
